bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
2,72,2880,1568,77,4,0,0,1,1.69
3,72,2880,1568,77,4,0,0,1,1.74
4,72,2880,1568,77,4,0,0,1,1.79
2,72,2880,1568,77,4,0,0,2,1.66
3,72,2880,1568,77,4,0,0,2,1.71
4,72,2880,1568,77,4,0,0,2,1.76
2,72,2880,1568,77,4,0,0,3,1.67
3,72,2880,1568,77,4,0,0,3,1.72
4,72,2880,1568,77,4,0,0,3,1.78
2,72,2880,1568,77,4,0,1,1,1.68
3,72,2880,1568,77,4,0,1,1,1.74
4,72,2880,1568,77,4,0,1,1,1.79
2,72,2880,1568,77,4,0,1,2,1.65
3,72,2880,1568,77,4,0,1,2,1.7
4,72,2880,1568,77,4,0,1,2,1.76
2,72,2880,1568,77,4,0,1,3,1.66
3,72,2880,1568,77,4,0,1,3,1.72
4,72,2880,1568,77,4,0,1,3,1.77
2,72,2880,1568,77,6,0,0,1,2.58
3,72,2880,1568,77,6,0,0,1,2.63
4,72,2880,1568,77,6,0,0,1,2.68
5,72,2880,1568,77,6,0,0,1,2.73
6,72,2880,1568,77,6,0,0,1,2.77
2,72,2880,1568,77,6,0,0,2,2.6
3,72,2880,1568,77,6,0,0,2,2.65
4,72,2880,1568,77,6,0,0,2,2.7
5,72,2880,1568,77,6,0,0,2,2.74
6,72,2880,1568,77,6,0,0,2,2.78
2,72,2880,1568,77,6,0,0,3,2.61
3,72,2880,1568,77,6,0,0,3,2.66
4,72,2880,1568,77,6,0,0,3,2.72
5,72,2880,1568,77,6,0,0,3,2.76
6,72,2880,1568,77,6,0,0,3,2.81
2,72,2880,1568,77,6,0,1,1,2.59
3,72,2880,1568,77,6,0,1,1,2.65
4,72,2880,1568,77,6,0,1,1,2.7
5,72,2880,1568,77,6,0,1,1,2.75
6,72,2880,1568,77,6,0,1,1,2.8
2,72,2880,1568,77,6,0,1,2,2.6
3,72,2880,1568,77,6,0,1,2,2.65
4,72,2880,1568,77,6,0,1,2,2.71
5,72,2880,1568,77,6,0,1,2,2.75
6,72,2880,1568,77,6,0,1,2,2.8
2,72,2880,1568,77,6,0,1,3,2.58
3,72,2880,1568,77,6,0,1,3,2.64
4,72,2880,1568,77,6,0,1,3,2.69
5,72,2880,1568,77,6,0,1,3,2.74
6,72,2880,1568,77,6,0,1,3,2.79
2,72,2880,1568,77,18,0,0,1,3.11
3,72,2880,1568,77,18,0,0,1,3.17
4,72,2880,1568,77,18,0,0,1,3.22
5,72,2880,1568,77,18,0,0,1,3.27
6,72,2880,1568,77,18,0,0,1,3.32
7,72,2880,1568,77,18,0,0,1,3.36
8,72,2880,1568,77,18,0,0,1,3.4
9,72,2880,1568,77,18,0,0,1,3.44
10,72,2880,1568,77,18,0,0,1,3.47
11,72,2880,1568,77,18,0,0,1,3.5
12,72,2880,1568,77,18,0,0,1,3.53
13,72,2880,1568,77,18,0,0,1,3.56
14,72,2880,1568,77,18,0,0,1,3.58
15,72,2880,1568,77,18,0,0,1,3.6
16,72,2880,1568,77,18,0,0,1,3.61
17,72,2880,1568,77,18,0,0,1,3.63
18,72,2880,1568,77,18,0,0,1,3.64
2,72,2880,1568,77,18,0,0,2,3.21
3,72,2880,1568,77,18,0,0,2,3.27
4,72,2880,1568,77,18,0,0,2,3.33
5,72,2880,1568,77,18,0,0,2,3.39
6,72,2880,1568,77,18,0,0,2,3.44
7,72,2880,1568,77,18,0,0,2,3.49
8,72,2880,1568,77,18,0,0,2,3.53
9,72,2880,1568,77,18,0,0,2,3.57
10,72,2880,1568,77,18,0,0,2,3.61
11,72,2880,1568,77,18,0,0,2,3.64
12,72,2880,1568,77,18,0,0,2,3.68
13,72,2880,1568,77,18,0,0,2,3.7
14,72,2880,1568,77,18,0,0,2,3.73
15,72,2880,1568,77,18,0,0,2,3.75
16,72,2880,1568,77,18,0,0,2,3.77
17,72,2880,1568,77,18,0,0,2,3.78
18,72,2880,1568,77,18,0,0,2,3.79
2,72,2880,1568,77,18,0,0,3,3.28
3,72,2880,1568,77,18,0,0,3,3.35
4,72,2880,1568,77,18,0,0,3,3.41
5,72,2880,1568,77,18,0,0,3,3.47
6,72,2880,1568,77,18,0,0,3,3.52
7,72,2880,1568,77,18,0,0,3,3.57
8,72,2880,1568,77,18,0,0,3,3.62
9,72,2880,1568,77,18,0,0,3,3.66
10,72,2880,1568,77,18,0,0,3,3.7
11,72,2880,1568,77,18,0,0,3,3.74
12,72,2880,1568,77,18,0,0,3,3.77
13,72,2880,1568,77,18,0,0,3,3.8
14,72,2880,1568,77,18,0,0,3,3.83
15,72,2880,1568,77,18,0,0,3,3.85
16,72,2880,1568,77,18,0,0,3,3.87
17,72,2880,1568,77,18,0,0,3,3.89
18,72,2880,1568,77,18,0,0,3,3.9
2,72,2880,1568,77,18,0,1,1,3.44
3,72,2880,1568,77,18,0,1,1,3.51
4,72,2880,1568,77,18,0,1,1,3.58
5,72,2880,1568,77,18,0,1,1,3.65
6,72,2880,1568,77,18,0,1,1,3.71
7,72,2880,1568,77,18,0,1,1,3.77
8,72,2880,1568,77,18,0,1,1,3.82
9,72,2880,1568,77,18,0,1,1,3.87
10,72,2880,1568,77,18,0,1,1,3.91
11,72,2880,1568,77,18,0,1,1,3.96
12,72,2880,1568,77,18,0,1,1,3.99
13,72,2880,1568,77,18,0,1,1,4.03
14,72,2880,1568,77,18,0,1,1,4.05
15,72,2880,1568,77,18,0,1,1,4.08
16,72,2880,1568,77,18,0,1,1,4.1
17,72,2880,1568,77,18,0,1,1,4.12
18,72,2880,1568,77,18,0,1,1,4.13
2,72,2880,1568,77,18,0,1,2,3.53
3,72,2880,1568,77,18,0,1,2,3.61
4,72,2880,1568,77,18,0,1,2,3.68
5,72,2880,1568,77,18,0,1,2,3.74
6,72,2880,1568,77,18,0,1,2,3.81
7,72,2880,1568,77,18,0,1,2,3.87
8,72,2880,1568,77,18,0,1,2,3.92
9,72,2880,1568,77,18,0,1,2,3.97
10,72,2880,1568,77,18,0,1,2,4.02
11,72,2880,1568,77,18,0,1,2,4.06
12,72,2880,1568,77,18,0,1,2,4.1
13,72,2880,1568,77,18,0,1,2,4.13
14,72,2880,1568,77,18,0,1,2,4.16
15,72,2880,1568,77,18,0,1,2,4.19
16,72,2880,1568,77,18,0,1,2,4.21
17,72,2880,1568,77,18,0,1,2,4.23
18,72,2880,1568,77,18,0,1,2,4.24
2,72,2880,1568,77,18,0,1,3,3.53
3,72,2880,1568,77,18,0,1,3,3.61
4,72,2880,1568,77,18,0,1,3,3.68
5,72,2880,1568,77,18,0,1,3,3.75
6,72,2880,1568,77,18,0,1,3,3.81
7,72,2880,1568,77,18,0,1,3,3.87
8,72,2880,1568,77,18,0,1,3,3.93
9,72,2880,1568,77,18,0,1,3,3.98
10,72,2880,1568,77,18,0,1,3,4.03
11,72,2880,1568,77,18,0,1,3,4.07
12,72,2880,1568,77,18,0,1,3,4.11
13,72,2880,1568,77,18,0,1,3,4.15
14,72,2880,1568,77,18,0,1,3,4.18
15,72,2880,1568,77,18,0,1,3,4.2
16,72,2880,1568,77,18,0,1,3,4.23
17,72,2880,1568,77,18,0,1,3,4.25
18,72,2880,1568,77,18,0,1,3,4.26
2,72,2880,1568,77,21,0,0,1,3.25
3,72,2880,1568,77,21,0,0,1,3.31
4,72,2880,1568,77,21,0,0,1,3.37
5,72,2880,1568,77,21,0,0,1,3.42
6,72,2880,1568,77,21,0,0,1,3.47
7,72,2880,1568,77,21,0,0,1,3.52
8,72,2880,1568,77,21,0,0,1,3.56
9,72,2880,1568,77,21,0,0,1,3.6
10,72,2880,1568,77,21,0,0,1,3.64
11,72,2880,1568,77,21,0,0,1,3.67
12,72,2880,1568,77,21,0,0,1,3.7
13,72,2880,1568,77,21,0,0,1,3.73
14,72,2880,1568,77,21,0,0,1,3.75
15,72,2880,1568,77,21,0,0,1,3.77
16,72,2880,1568,77,21,0,0,1,3.79
17,72,2880,1568,77,21,0,0,1,3.8
18,72,2880,1568,77,21,0,0,1,3.81
19,72,2880,1568,77,21,0,0,1,3.82
20,72,2880,1568,77,21,0,0,1,3.82
21,72,2880,1568,77,21,0,0,1,3.82
2,72,2880,1568,77,21,0,0,2,3.36
3,72,2880,1568,77,21,0,0,2,3.42
4,72,2880,1568,77,21,0,0,2,3.48
5,72,2880,1568,77,21,0,0,2,3.54
6,72,2880,1568,77,21,0,0,2,3.59
7,72,2880,1568,77,21,0,0,2,3.64
8,72,2880,1568,77,21,0,0,2,3.69
9,72,2880,1568,77,21,0,0,2,3.73
10,72,2880,1568,77,21,0,0,2,3.77
11,72,2880,1568,77,21,0,0,2,3.81
12,72,2880,1568,77,21,0,0,2,3.84
13,72,2880,1568,77,21,0,0,2,3.87
14,72,2880,1568,77,21,0,0,2,3.89
15,72,2880,1568,77,21,0,0,2,3.92
16,72,2880,1568,77,21,0,0,2,3.94
17,72,2880,1568,77,21,0,0,2,3.95
18,72,2880,1568,77,21,0,0,2,3.96
19,72,2880,1568,77,21,0,0,2,3.97
20,72,2880,1568,77,21,0,0,2,3.97
21,72,2880,1568,77,21,0,0,2,3.98
2,72,2880,1568,77,21,0,0,3,3.4
3,72,2880,1568,77,21,0,0,3,3.47
4,72,2880,1568,77,21,0,0,3,3.54
5,72,2880,1568,77,21,0,0,3,3.6
6,72,2880,1568,77,21,0,0,3,3.66
7,72,2880,1568,77,21,0,0,3,3.71
8,72,2880,1568,77,21,0,0,3,3.76
9,72,2880,1568,77,21,0,0,3,3.81
10,72,2880,1568,77,21,0,0,3,3.85
11,72,2880,1568,77,21,0,0,3,3.89
12,72,2880,1568,77,21,0,0,3,3.92
