bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
2,72,2880,1568,77,4,0,0,1,1.91
3,72,2880,1568,77,4,0,0,1,2.02
4,72,2880,1568,77,4,0,0,1,2.13
2,72,2880,1568,77,4,0,0,2,1.93
3,72,2880,1568,77,4,0,0,2,2.04
4,72,2880,1568,77,4,0,0,2,2.15
2,72,2880,1568,77,4,0,0,3,1.94
3,72,2880,1568,77,4,0,0,3,2.06
4,72,2880,1568,77,4,0,0,3,2.17
2,72,2880,1568,77,4,0,1,1,1.91
3,72,2880,1568,77,4,0,1,1,2.02
4,72,2880,1568,77,4,0,1,1,2.12
2,72,2880,1568,77,4,0,1,2,1.93
3,72,2880,1568,77,4,0,1,2,2.04
4,72,2880,1568,77,4,0,1,2,2.14
2,72,2880,1568,77,4,0,1,3,1.94
3,72,2880,1568,77,4,0,1,3,2.05
4,72,2880,1568,77,4,0,1,3,2.16
2,72,2880,1568,77,6,0,0,1,2.75
3,72,2880,1568,77,6,0,0,1,2.85
4,72,2880,1568,77,6,0,0,1,2.95
5,72,2880,1568,77,6,0,0,1,3.03
6,72,2880,1568,77,6,0,0,1,3.12
2,72,2880,1568,77,6,0,0,2,2.8
3,72,2880,1568,77,6,0,0,2,2.9
4,72,2880,1568,77,6,0,0,2,3.0
5,72,2880,1568,77,6,0,0,2,3.08
6,72,2880,1568,77,6,0,0,2,3.17
2,72,2880,1568,77,6,0,0,3,2.81
3,72,2880,1568,77,6,0,0,3,2.91
4,72,2880,1568,77,6,0,0,3,3.01
5,72,2880,1568,77,6,0,0,3,3.1
6,72,2880,1568,77,6,0,0,3,3.19
2,72,2880,1568,77,6,0,1,1,2.81
3,72,2880,1568,77,6,0,1,1,2.91
4,72,2880,1568,77,6,0,1,1,3.01
5,72,2880,1568,77,6,0,1,1,3.1
6,72,2880,1568,77,6,0,1,1,3.19
2,72,2880,1568,77,6,0,1,2,2.82
3,72,2880,1568,77,6,0,1,2,2.92
4,72,2880,1568,77,6,0,1,2,3.02
5,72,2880,1568,77,6,0,1,2,3.1
6,72,2880,1568,77,6,0,1,2,3.19
2,72,2880,1568,77,6,0,1,3,2.81
3,72,2880,1568,77,6,0,1,3,2.91
4,72,2880,1568,77,6,0,1,3,3.01
5,72,2880,1568,77,6,0,1,3,3.1
6,72,2880,1568,77,6,0,1,3,3.19
2,72,2880,1568,77,18,0,0,1,3.16
3,72,2880,1568,77,18,0,0,1,3.32
4,72,2880,1568,77,18,0,0,1,3.46
5,72,2880,1568,77,18,0,0,1,3.6
6,72,2880,1568,77,18,0,0,1,3.74
7,72,2880,1568,77,18,0,0,1,3.86
8,72,2880,1568,77,18,0,0,1,3.97
9,72,2880,1568,77,18,0,0,1,4.07
10,72,2880,1568,77,18,0,0,1,4.17
11,72,2880,1568,77,18,0,0,1,4.26
