bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
2,72,2880,1568,77,4,0,0,1,1.47
3,72,2880,1568,77,4,0,0,1,1.63
4,72,2880,1568,77,4,0,0,1,1.78
2,72,2880,1568,77,4,0,0,2,1.48
3,72,2880,1568,77,4,0,0,2,1.64
4,72,2880,1568,77,4,0,0,2,1.8
2,72,2880,1568,77,4,0,0,3,1.51
3,72,2880,1568,77,4,0,0,3,1.67
4,72,2880,1568,77,4,0,0,3,1.83
2,72,2880,1568,77,4,0,1,1,1.54
3,72,2880,1568,77,4,0,1,1,1.71
4,72,2880,1568,77,4,0,1,1,1.87
2,72,2880,1568,77,4,0,1,2,1.55
3,72,2880,1568,77,4,0,1,2,1.72
4,72,2880,1568,77,4,0,1,2,1.88
2,72,2880,1568,77,4,0,1,3,1.58
3,72,2880,1568,77,4,0,1,3,1.74
4,72,2880,1568,77,4,0,1,3,1.89
2,72,2880,1568,77,6,0,0,1,2.15
3,72,2880,1568,77,6,0,0,1,2.34
4,72,2880,1568,77,6,0,0,1,2.52
5,72,2880,1568,77,6,0,0,1,2.68
6,72,2880,1568,77,6,0,0,1,2.84
2,72,2880,1568,77,6,0,0,2,2.18
3,72,2880,1568,77,6,0,0,2,2.38
4,72,2880,1568,77,6,0,0,2,2.56
5,72,2880,1568,77,6,0,0,2,2.74
6,72,2880,1568,77,6,0,0,2,2.9
2,72,2880,1568,77,6,0,0,3,2.24
3,72,2880,1568,77,6,0,0,3,2.43
4,72,2880,1568,77,6,0,0,3,2.62
5,72,2880,1568,77,6,0,0,3,2.79
6,72,2880,1568,77,6,0,0,3,2.95
2,72,2880,1568,77,6,0,1,1,2.25
3,72,2880,1568,77,6,0,1,1,2.45
4,72,2880,1568,77,6,0,1,1,2.63
5,72,2880,1568,77,6,0,1,1,2.81
6,72,2880,1568,77,6,0,1,1,2.97
2,72,2880,1568,77,6,0,1,2,2.26
3,72,2880,1568,77,6,0,1,2,2.46
4,72,2880,1568,77,6,0,1,2,2.65
5,72,2880,1568,77,6,0,1,2,2.83
6,72,2880,1568,77,6,0,1,2,3.0
2,72,2880,1568,77,6,0,1,3,2.3
3,72,2880,1568,77,6,0,1,3,2.49
4,72,2880,1568,77,6,0,1,3,2.67
5,72,2880,1568,77,6,0,1,3,2.84
6,72,2880,1568,77,6,0,1,3,3.0
2,72,2880,1568,77,18,0,0,1,2.55
3,72,2880,1568,77,18,0,0,1,2.81
4,72,2880,1568,77,18,0,0,1,3.06
5,72,2880,1568,77,18,0,0,1,3.29
6,72,2880,1568,77,18,0,0,1,3.5
7,72,2880,1568,77,18,0,0,1,3.7
8,72,2880,1568,77,18,0,0,1,3.89
9,72,2880,1568,77,18,0,0,1,4.06
10,72,2880,1568,77,18,0,0,1,4.22
11,72,2880,1568,77,18,0,0,1,4.36
12,72,2880,1568,77,18,0,0,1,4.49
13,72,2880,1568,77,18,0,0,1,4.6
14,72,2880,1568,77,18,0,0,1,4.7
15,72,2880,1568,77,18,0,0,1,4.78
16,72,2880,1568,77,18,0,0,1,4.85
17,72,2880,1568,77,18,0,0,1,4.9
18,72,2880,1568,77,18,0,0,1,4.94
2,72,2880,1568,77,18,0,0,2,2.64
3,72,2880,1568,77,18,0,0,2,2.91
4,72,2880,1568,77,18,0,0,2,3.17
5,72,2880,1568,77,18,0,0,2,3.42
6,72,2880,1568,77,18,0,0,2,3.64
7,72,2880,1568,77,18,0,0,2,3.85
8,72,2880,1568,77,18,0,0,2,4.05
9,72,2880,1568,77,18,0,0,2,4.23
10,72,2880,1568,77,18,0,0,2,4.4
11,72,2880,1568,77,18,0,0,2,4.54
12,72,2880,1568,77,18,0,0,2,4.68
13,72,2880,1568,77,18,0,0,2,4.8
14,72,2880,1568,77,18,0,0,2,4.9
15,72,2880,1568,77,18,0,0,2,4.98
16,72,2880,1568,77,18,0,0,2,5.06
17,72,2880,1568,77,18,0,0,2,5.11
18,72,2880,1568,77,18,0,0,2,5.15
2,72,2880,1568,77,18,0,0,3,2.77
3,72,2880,1568,77,18,0,0,3,3.07
4,72,2880,1568,77,18,0,0,3,3.35
5,72,2880,1568,77,18,0,0,3,3.61
6,72,2880,1568,77,18,0,0,3,3.86
7,72,2880,1568,77,18,0,0,3,4.09
8,72,2880,1568,77,18,0,0,3,4.3
9,72,2880,1568,77,18,0,0,3,4.5
10,72,2880,1568,77,18,0,0,3,4.67
11,72,2880,1568,77,18,0,0,3,4.84
12,72,2880,1568,77,18,0,0,3,4.98
13,72,2880,1568,77,18,0,0,3,5.11
14,72,2880,1568,77,18,0,0,3,5.22
15,72,2880,1568,77,18,0,0,3,5.31
16,72,2880,1568,77,18,0,0,3,5.39
17,72,2880,1568,77,18,0,0,3,5.45
18,72,2880,1568,77,18,0,0,3,5.49
2,72,2880,1568,77,18,0,1,1,2.65
3,72,2880,1568,77,18,0,1,1,2.91
4,72,2880,1568,77,18,0,1,1,3.16
5,72,2880,1568,77,18,0,1,1,3.39
6,72,2880,1568,77,18,0,1,1,3.6
7,72,2880,1568,77,18,0,1,1,3.8
8,72,2880,1568,77,18,0,1,1,3.99
9,72,2880,1568,77,18,0,1,1,4.16
10,72,2880,1568,77,18,0,1,1,4.32
11,72,2880,1568,77,18,0,1,1,4.46
12,72,2880,1568,77,18,0,1,1,4.59
13,72,2880,1568,77,18,0,1,1,4.7
14,72,2880,1568,77,18,0,1,1,4.8
15,72,2880,1568,77,18,0,1,1,4.88
16,72,2880,1568,77,18,0,1,1,4.95
17,72,2880,1568,77,18,0,1,1,5.0
18,72,2880,1568,77,18,0,1,1,5.04
2,72,2880,1568,77,18,0,1,2,2.71
3,72,2880,1568,77,18,0,1,2,2.98
4,72,2880,1568,77,18,0,1,2,3.24
5,72,2880,1568,77,18,0,1,2,3.49
6,72,2880,1568,77,18,0,1,2,3.71
7,72,2880,1568,77,18,0,1,2,3.92
8,72,2880,1568,77,18,0,1,2,4.12
9,72,2880,1568,77,18,0,1,2,4.3
10,72,2880,1568,77,18,0,1,2,4.47
11,72,2880,1568,77,18,0,1,2,4.61
12,72,2880,1568,77,18,0,1,2,4.75
