bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,SI,TI,pred
2,72,2880,1568,77,4,0,0,1,35.72,24.41,1.79
3,72,2880,1568,77,4,0,0,1,35.72,24.41,1.8
4,72,2880,1568,77,4,0,0,1,35.72,24.41,1.82
2,72,2880,1568,77,4,0,0,1,48.04,40.5,1.97
3,72,2880,1568,77,4,0,0,1,48.04,40.5,1.98
4,72,2880,1568,77,4,0,0,1,48.04,40.5,1.98
2,72,2880,1568,77,4,0,0,1,45.27,37.92,1.81
3,72,2880,1568,77,4,0,0,1,45.27,37.92,1.82
4,72,2880,1568,77,4,0,0,1,45.27,37.92,1.84
2,72,2880,1568,77,4,0,0,2,35.72,24.41,1.78
3,72,2880,1568,77,4,0,0,2,35.72,24.41,1.79
4,72,2880,1568,77,4,0,0,2,35.72,24.41,1.81
2,72,2880,1568,77,4,0,0,2,48.04,40.5,1.96
3,72,2880,1568,77,4,0,0,2,48.04,40.5,1.97
4,72,2880,1568,77,4,0,0,2,48.04,40.5,1.97
2,72,2880,1568,77,4,0,0,2,45.27,37.92,1.79
3,72,2880,1568,77,4,0,0,2,45.27,37.92,1.81
4,72,2880,1568,77,4,0,0,2,45.27,37.92,1.82
2,72,2880,1568,77,4,0,0,3,35.72,24.41,1.76
3,72,2880,1568,77,4,0,0,3,35.72,24.41,1.78
4,72,2880,1568,77,4,0,0,3,35.72,24.41,1.79
2,72,2880,1568,77,4,0,0,3,48.04,40.5,1.92
3,72,2880,1568,77,4,0,0,3,48.04,40.5,1.93
4,72,2880,1568,77,4,0,0,3,48.04,40.5,1.94
2,72,2880,1568,77,4,0,0,3,45.27,37.92,1.78
3,72,2880,1568,77,4,0,0,3,45.27,37.92,1.79
4,72,2880,1568,77,4,0,0,3,45.27,37.92,1.81
2,72,2880,1568,77,4,0,1,1,35.72,24.41,1.98
3,72,2880,1568,77,4,0,1,1,35.72,24.41,1.99
4,72,2880,1568,77,4,0,1,1,35.72,24.41,2.0
2,72,2880,1568,77,4,0,1,1,48.04,40.5,2.16
3,72,2880,1568,77,4,0,1,1,48.04,40.5,2.17
4,72,2880,1568,77,4,0,1,1,48.04,40.5,2.17
2,72,2880,1568,77,4,0,1,1,45.27,37.92,2.0
3,72,2880,1568,77,4,0,1,1,45.27,37.92,2.01
4,72,2880,1568,77,4,0,1,1,45.27,37.92,2.02
2,72,2880,1568,77,4,0,1,2,35.72,24.41,1.97
3,72,2880,1568,77,4,0,1,2,35.72,24.41,1.98
4,72,2880,1568,77,4,0,1,2,35.72,24.41,1.99
2,72,2880,1568,77,4,0,1,2,48.04,40.5,2.16
3,72,2880,1568,77,4,0,1,2,48.04,40.5,2.17
4,72,2880,1568,77,4,0,1,2,48.04,40.5,2.17
2,72,2880,1568,77,4,0,1,2,45.27,37.92,1.99
3,72,2880,1568,77,4,0,1,2,45.27,37.92,2.0
4,72,2880,1568,77,4,0,1,2,45.27,37.92,2.01
